"Year","Period","State","State ANSI","Data Item","Domain","Domain Category","Value","CV (%)","Chemical","Chemical_Code"
2021,"MARKETING YEAR","CALIFORNIA","06","$ / CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2021,"MARKETING YEAR","FLORIDA","12","$ / CWT","TOTAL","NOT SPECIFIED",160,NA,NA,NA
2021,"MARKETING YEAR","FLORIDA","12","$ / CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2021,"MARKETING YEAR","FLORIDA","12","$ / CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2021,"MARKETING YEAR","OTHER STATES",NA,"$ / CWT","TOTAL","NOT SPECIFIED",0,NA,NA,NA
2021,"MARKETING YEAR","OTHER STATES",NA,"$ / CWT","TOTAL","NOT SPECIFIED",143,NA,NA,NA
2021,"MARKETING YEAR","OTHER STATES",NA,"$ / CWT","TOTAL","NOT SPECIFIED",64,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","$","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","TONS","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)",NA,NA,"AZOXYSTROBIN "," 128810"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFAC F727 = 16489)",NA,NA,"BACILLUS AMYLOLIQUEFAC F727 "," 16489"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)",NA,NA,"BACILLUS AMYLOLIQUEFACIENS MBI 600 "," 129082"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)",NA,NA,"BACILLUS AMYLOLIQUEFACIENS STRAIN D747 "," 16482"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS PUMILUS = 6485)",NA,NA,"BACILLUS PUMILUS "," 6485"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)",NA,NA,"BACILLUS SUBTILIS "," 6479"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BLAD = 30006)",NA,NA,"BLAD "," 30006"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)",100,NA,"BORAX DECAHYDRATE "," 11102"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)",NA,NA,"BOSCALID "," 128008"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)",NA,NA,"BT SUBSP KURSTAKI EVB-113-19 "," 6544"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)",NA,NA,"CAPTAN "," 81301"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)",NA,NA,"COPPER OCTANOATE "," 23306"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)",500,NA,"CYFLUFENAMID "," 555550"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)",NA,NA,"CYPRODINIL "," 288202"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)",NA,NA,"DIFENOCONAZOLE "," 128847"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)",NA,NA,"FENHEXAMID "," 90209"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)",NA,NA,"FLUDIOXONIL "," 71503"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)",NA,NA,"FLUOPYRAM "," 80302"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)",NA,NA,"FLUXAPYROXAD "," 138009"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)",NA,NA,"FOSETYL-AL "," 123301"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ISOFETAMID = 270000)",NA,NA,"ISOFETAMID "," 270000"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)",NA,NA,"MEFENOXAM "," 113502"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)",NA,NA,"MONO-POTASSIUM SALT "," 76416"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)",NA,NA,"MYCLOBUTANIL "," 128857"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)",NA,NA,"PENTHIOPYRAD "," 90112"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)",NA,NA,"POLYOXIN D ZINC SALT "," 230000"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)",NA,NA,"POTASSIUM BICARBON. "," 73508"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)",NA,NA,"PROPICONAZOLE "," 122101"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)",NA,NA,"PYRACLOSTROBIN "," 99100"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)",NA,NA,"PYRIMETHANIL "," 288201"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)",NA,NA,"QUINOLINE "," 55459"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (STREPTOMYCES LYDICUS = 6327)",NA,NA,"STREPTOMYCES LYDICUS "," 6327"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)",NA,NA,"SULFUR "," 77501"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TETRACONAZOLE = 120603)",800,NA,"TETRACONAZOLE "," 120603"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)",NA,NA,"THIOPHANATE-METHYL "," 102001"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIRAM = 79801)",NA,NA,"THIRAM "," 79801"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)",NA,NA,"TRIFLOXYSTROBIN "," 129112"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)",NA,NA,"TRIFLUMIZOLE "," 128879"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)",NA,NA,"CARFENTRAZONE-ETHYL "," 128712"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)",500,NA,"FLUMIOXAZIN "," 129034"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)",NA,NA,"GLYPHOSATE ISO. SALT "," 103601"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)",NA,NA,"GLYPHOSATE POT. SALT "," 103613"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NAPROPAMIDE = 103001)",NA,NA,"NAPROPAMIDE "," 103001"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)",NA,NA,"OXYFLUORFEN "," 111601"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",NA,NA,"PARAQUAT "," 61601"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",NA,NA,"PENDIMETHALIN "," 108501"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)",NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)",200,NA,"ABAMECTIN "," 122804"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)",NA,NA,"ACEQUINOCYL "," 6329"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)",NA,NA,"ACETAMIPRID "," 99050"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)",600,NA,"AZADIRACHTIN "," 121701"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BEAUVERIA BASSIANA = 128924)",NA,NA,"BEAUVERIA BASSIANA "," 128924"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)",NA,NA,"BIFENAZATE "," 586"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)",NA,NA,"BIFENTHRIN "," 128825"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)",NA,NA,"BT KURSTAK ABTS-1857 "," 6523"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)",NA,NA,"BT KURSTAKI ABTS-351 "," 6522"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI EG7841 = 6453)",NA,NA,"BT KURSTAKI EG7841 "," 6453"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI SA-11 = 6519)",NA,NA,"BT KURSTAKI SA-11 "," 6519"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT SUB AIZAWAI GC-91 = 6426)",NA,NA,"BT SUB AIZAWAI GC-91 "," 6426"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BUPROFEZIN = 275100)",NA,NA,"BUPROFEZIN "," 275100"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BURKHOLDERIA A396 CELLS & MEDIA = 6534)",NA,NA,"BURKHOLDERIA A396 CELLS & MEDIA "," 6534"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CANOLA OIL = 11332)",NA,NA,"CANOLA OIL "," 11332"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)",NA,NA,"CHLORANTRANILIPROLE "," 90100"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)",NA,NA,"CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA "," 16329"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)",NA,NA,"CYANTRANILIPROLE "," 90098"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUMETOFEN = 138831)",NA,NA,"CYFLUMETOFEN "," 138831"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIAZINON = 57801)",NA,NA,"DIAZINON "," 57801"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ETOXAZOLE = 107091)",NA,NA,"ETOXAZOLE "," 107091"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENBUTATIN-OXIDE = 104601)",NA,NA,"FENBUTATIN-OXIDE "," 104601"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPROPATHRIN = 127901)",NA,NA,"FENPROPATHRIN "," 127901"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPYROXIMATE = 129131)",200,NA,"FENPYROXIMATE "," 129131"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLONICAMID = 128016)",NA,NA,"FLONICAMID "," 128016"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUPYRADIFURONE = 122304)",NA,NA,"FLUPYRADIFURONE "," 122304"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (HELICOVERPA ZEA NPV = 107300)",NA,NA,"HELICOVERPA ZEA NPV "," 107300"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (HEXYTHIAZOX = 128849)",NA,NA,"HEXYTHIAZOX "," 128849"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)",NA,NA,"IMIDACLOPRID "," 129099"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (MALATHION = 57701)",NA,NA,"MALATHION "," 57701"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)",NA,NA,"METHOXYFENOZIDE "," 121027"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NALED = 34401)",NA,NA,"NALED "," 34401"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL = 25006)",NA,NA,"NEEM OIL "," 25006"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL, CLAR. HYD. = 25007)",NA,NA,"NEEM OIL, CLAR. HYD. "," 25007"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NOVALURON = 124002)",NA,NA,"NOVALURON "," 124002"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PETROLEUM DISTILLATE = 63503)",NA,NA,"PETROLEUM DISTILLATE "," 63503"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PIPERONYL BUTOXIDE = 67501)",NA,NA,"PIPERONYL BUTOXIDE "," 67501"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (POTASSIUM SALTS = 79021)",NA,NA,"POTASSIUM SALTS "," 79021"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRETHRINS = 69001)",100,NA,"PYRETHRINS "," 69001"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIDABEN = 129105)",NA,NA,"PYRIDABEN "," 129105"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIPROXYFEN = 129032)",NA,NA,"PYRIPROXYFEN "," 129032"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM = 110007)",NA,NA,"SPINETORAM "," 110007"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINOSAD = 110003)",NA,NA,"SPINOSAD "," 110003"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPIROMESIFEN = 24875)",700,NA,"SPIROMESIFEN "," 24875"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (THIAMETHOXAM = 60109)",600,NA,"THIAMETHOXAM "," 60109"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)",NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (ACIBENZOLAR-S-METHYL = 61402)",NA,NA,"ACIBENZOLAR-S-METHYL "," 61402"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (CAPRIC ACID = 128955)",NA,NA,"CAPRIC ACID "," 128955"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (CAPRYLIC ACID = 128919)",NA,NA,"CAPRYLIC ACID "," 128919"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (CAPSICUM OLEORESIN EXTRACT = 70704)",NA,NA,"CAPSICUM OLEORESIN EXTRACT "," 70704"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (CHLOROPICRIN = 81501)",NA,NA,"CHLOROPICRIN "," 81501"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (DICHLOROPROPENE = 29001)",NA,NA,"DICHLOROPROPENE "," 29001"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (FLUTRIAFOL = 128940)",NA,NA,"FLUTRIAFOL "," 128940"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (GARLIC OIL = 128827)",NA,NA,"GARLIC OIL "," 128827"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (HYDROGEN PEROXIDE = 595)",NA,NA,"HYDROGEN PEROXIDE "," 595"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (IRON PHOSPHATE = 34903)",NA,NA,"IRON PHOSPHATE "," 34903"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (METAM-POTASSIUM = 39002)",NA,NA,"METAM-POTASSIUM "," 39002"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (MINERAL OIL = 63502)",NA,NA,"MINERAL OIL "," 63502"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (PAECILOMYCES FUMOSOR = 115002)",NA,NA,"PAECILOMYCES FUMOSOR "," 115002"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (PEROXYACETIC ACID = 63201)",NA,NA,"PEROXYACETIC ACID "," 63201"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (POTASSIUM SILICATE = 72606)",NA,NA,"POTASSIUM SILICATE "," 72606"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (PSEUDOMONAS CHLORORAPHIS STRAIN AFS009 = 6800)",NA,NA,"PSEUDOMONAS CHLORORAPHIS STRAIN AFS009 "," 6800"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (REYNOUTRIA SACHALINE = 55809)",NA,NA,"REYNOUTRIA SACHALINE "," 55809"
2021,"YEAR","CALIFORNIA","06","LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)",NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)",0.237,NA,"AZOXYSTROBIN "," 128810"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFAC F727 = 16489)",NA,NA,"BACILLUS AMYLOLIQUEFAC F727 "," 16489"
